company_id,has_tracker,tracker_count,policy_disclosed,under_disclosure,over_disclosure,mismatch_label
MSM_19385,True,1,False,True,False,under_disclosure
MSM_19388,False,0,False,False,False,none
MSM_19407,True,10,False,True,False,under_disclosure
MSM_19416,True,6,False,True,False,under_disclosure
MSM_19426,True,18,False,True,False,under_disclosure
MSM_19429,False,0,False,False,False,none
MSM_19434,True,14,False,True,False,under_disclosure
MSM_19435,True,1,False,True,False,under_disclosure
MSM_19443,True,3,False,True,False,under_disclosure
MSM_19444,True,12,False,True,False,under_disclosure
MSM_19478,True,1,False,True,False,under_disclosure
MSM_19495,True,7,False,True,False,under_disclosure
MSM_19497,False,0,False,False,False,none
MSM_19501,True,19,False,True,False,under_disclosure
MSM_19509,True,1,False,True,False,under_disclosure
MSM_19510,True,6,False,True,False,under_disclosure
MSM_19513,False,0,True,False,True,over_disclosure
MSM_19527,False,0,False,False,False,none
MSM_19537,True,14,False,True,False,under_disclosure
MSM_19539,True,18,False,True,False,under_disclosure
MSM_19550,True,4,False,True,False,under_disclosure
MSM_19561,True,6,False,True,False,under_disclosure
MSM_19565,True,8,False,True,False,under_disclosure
MSM_19568,True,3,False,True,False,under_disclosure
MSM_19575,True,17,False,True,False,under_disclosure
MSM_19586,True,3,False,True,False,under_disclosure
MSM_19590,True,8,False,True,False,under_disclosure
MSM_19591,True,2,False,True,False,under_disclosure
MSM_19602,True,44,False,True,False,under_disclosure
MSM_19609,True,35,False,True,False,under_disclosure
MSM_19619,True,12,False,True,False,under_disclosure
MSM_19637,True,2,False,True,False,under_disclosure
MSM_19639,False,0,False,False,False,none
MSM_19640,False,0,False,False,False,none
MSM_19645,False,0,False,False,False,none
MSM_19659,True,3,False,True,False,under_disclosure
MSM_19667,True,10,False,True,False,under_disclosure
MSM_19669,True,16,False,True,False,under_disclosure
MSM_19674,True,9,False,True,False,under_disclosure
MSM_19681,True,11,False,True,False,under_disclosure
MSM_19685,True,15,True,False,False,none
MSM_19687,True,17,False,True,False,under_disclosure
MSM_19706,True,11,False,True,False,under_disclosure
MSM_19717,True,20,False,True,False,under_disclosure
MSM_19723,True,4,True,False,False,none
MSM_19736,True,10,False,True,False,under_disclosure
MSM_19747,True,11,False,True,False,under_disclosure
MSM_19750,True,3,False,True,False,under_disclosure
MSM_19756,True,48,False,True,False,under_disclosure
MSM_19764,True,12,False,True,False,under_disclosure
MSM_19772,False,0,False,False,False,none
MSM_19773,True,8,False,True,False,under_disclosure
MSM_19783,True,11,False,True,False,under_disclosure
MSM_19787,False,0,False,False,False,none
MSM_19791,True,14,False,True,False,under_disclosure
MSM_19793,True,17,False,True,False,under_disclosure
MSM_19817,True,20,False,True,False,under_disclosure
MSM_19818,True,4,False,True,False,under_disclosure
MSM_19820,True,12,False,True,False,under_disclosure
MSM_19829,True,47,True,False,False,none
MSM_19832,True,3,True,False,False,none
MSM_19833,False,0,False,False,False,none
MSM_19843,False,0,False,False,False,none
MSM_19848,False,0,True,False,True,over_disclosure
MSM_19849,True,7,False,True,False,under_disclosure
MSM_19863,False,0,False,False,False,none
MSM_19867,True,1,False,True,False,under_disclosure
MSM_19882,True,12,True,False,False,none
MSM_19894,True,16,False,True,False,under_disclosure
MSM_19895,True,15,False,True,False,under_disclosure
MSM_19896,True,3,False,True,False,under_disclosure
MSM_19899,True,12,False,True,False,under_disclosure
MSM_19901,True,10,False,True,False,under_disclosure
MSM_19913,True,6,True,False,False,none
MSM_19916,False,0,True,False,True,over_disclosure
MSM_19919,True,3,False,True,False,under_disclosure
MSM_19920,True,5,False,True,False,under_disclosure
MSM_19940,True,1,False,True,False,under_disclosure
MSM_19941,True,28,True,False,False,none
MSM_19947,True,13,False,True,False,under_disclosure
MSM_19948,True,7,False,True,False,under_disclosure
MSM_19966,True,4,True,False,False,none
MSM_19980,True,10,False,True,False,under_disclosure
MSM_19982,True,15,False,True,False,under_disclosure
MSM_19992,False,0,False,False,False,none
MSM_19993,True,10,False,True,False,under_disclosure
MSM_19997,True,15,False,True,False,under_disclosure
MSM_20000,True,14,False,True,False,under_disclosure
MSM_20003,True,4,False,True,False,under_disclosure
MSM_20010,False,0,False,False,False,none
MSM_20019,False,0,False,False,False,none
MSM_20022,True,22,False,True,False,under_disclosure
MSM_20025,True,10,False,True,False,under_disclosure
MSM_20057,True,3,True,False,False,none
