company_id,has_tracker,tracker_count,policy_disclosed,under_disclosure,over_disclosure,mismatch_label,industry,founding_year,employee_range,policy_length
MSM_22026,True,3,False,True,False,under_disclosure,saas,2023,,3229
MSM_22034,False,0,False,False,False,none,saas,2023,,50
MSM_22040,True,18,False,True,False,under_disclosure,saas,2024,,6427
MSM_22054,True,15,False,True,False,under_disclosure,saas,2023,,130
MSM_22064,False,0,False,False,False,none,saas,2023,,6200
MSM_22084,True,12,False,True,False,under_disclosure,saas,2023,,23734
MSM_22087,True,4,False,True,False,under_disclosure,saas,2023,,2924
MSM_22099,True,13,False,True,False,under_disclosure,media,2023,,23734
MSM_22109,True,9,False,True,False,under_disclosure,media,2023,,9
MSM_22121,True,13,False,True,False,under_disclosure,saas,2023,,61164
MSM_22137,True,14,False,True,False,under_disclosure,saas,2023,,2737
MSM_22142,True,3,False,True,False,under_disclosure,saas,2023,,3391
MSM_22146,True,12,False,True,False,under_disclosure,saas,2023,,1729
MSM_22157,True,3,False,True,False,under_disclosure,saas,2023,,322
MSM_22164,True,10,False,True,False,under_disclosure,gaming,2023,,6234
MSM_22173,True,17,False,True,False,under_disclosure,saas,2023,,985
MSM_22183,True,3,False,True,False,under_disclosure,saas,2023,,284
MSM_22197,True,1,False,True,False,under_disclosure,edtech,2023,,14173
MSM_22205,True,9,False,True,False,under_disclosure,gaming,2023,,9070
MSM_22220,True,2,False,True,False,under_disclosure,gaming,2023,,6230
MSM_22245,True,11,True,False,False,none,healthtech,2023,,5678
MSM_22247,True,11,False,True,False,under_disclosure,saas,2024,,1203
MSM_22256,True,8,False,True,False,under_disclosure,gaming,2023,,3775
MSM_22261,True,16,True,False,False,none,fintech,2023,,5523
MSM_22265,True,13,False,True,False,under_disclosure,saas,2023,,23734
MSM_22287,True,31,True,False,False,none,saas,2023,,10426
MSM_22292,True,1,False,True,False,under_disclosure,saas,2023,,86
MSM_22310,True,7,False,True,False,under_disclosure,saas,2023,,6226
MSM_22313,True,11,False,True,False,under_disclosure,logistics,2023,,6252
MSM_22314,True,8,True,False,False,none,saas,2023,,5895
MSM_22315,True,4,False,True,False,under_disclosure,healthtech,2023,,13389
MSM_22324,True,40,False,True,False,under_disclosure,saas,2023,,258
MSM_22327,True,23,False,True,False,under_disclosure,saas,2023,,0
MSM_22328,True,17,False,True,False,under_disclosure,saas,2023,,109
MSM_22332,True,6,False,True,False,under_disclosure,saas,2023,,116
